" ","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009"
"Crimes","","","","","","","","","",""
"Violent Crimes","210,492","210,510","207,988","204,591","197,432","189,593","194,128","191,493","185,233","174,579"
"Homicide","2,074","2,201","2,392","2,402","2,394","2,503","2,483","2,258","2,143","1,970"
"Rape (Forcible Rape prior to 2014)","9,785","9,882","10,176","9,918","9,598","9,345","9,213","9,047","8,906","8,698"
"Rape","8,197","8,219","8,620","8,461","8,287","8,115","7,937","7,931","7,859","7,719"
"Attempted Rape","1,588","1,663","1,556","1,457","1,311","1,230","1,276","1,116","1,047","979"
"Robbery","60,243","63,299","64,805","63,597","61,573","63,424","70,961","70,702","69,391","64,006"
"Weapon","","","","","","","","","",""
"Firearm","20,971","22,606","23,444","22,155","20,609","21,947","24,409","23,519","22,089","19,863"
"Knife or Cutting Instrument","6,078","6,512","6,599","6,453","6,119","6,230","6,833","6,632","6,253","5,658"
"Other Weapon","5,610","6,034","5,769","5,644","5,521","5,949","6,683","6,593","6,430","5,816"
"Strong-Arm","27,584","28,147","28,993","29,345","29,324","29,298","33,036","33,958","34,619","32,669"
"Location","","","","","","","","","",""
"Highway","27,490","29,000","29,603","29,511","28,738","30,381","34,685","34,880","33,983","31,145"
"Commercial","9,853","10,877","11,247","10,587","10,388","10,367","10,917","10,287","10,126","9,403"
"Gas Station","1,608","1,721","1,678","1,522","1,458","1,665","1,689","1,596","1,477","1,221"
"Convenience Store","2,792","2,951","2,991","2,745","2,717","2,854","3,252","3,039","2,936","2,710"
"Residence","5,278","5,333","5,489","5,349","5,046","5,142","5,512","5,674","5,848","5,640"
"Bank","1,417","1,540","1,502","1,369","1,323","1,233","1,331","1,178","1,275","1,107"
"Miscellaneous","11,805","11,877","12,295","12,514","11,903","11,782","13,575","14,048","13,746","12,780"
"Aggravated Assault","138,390","135,128","130,615","128,674","123,867","114,321","111,471","109,486","104,793","99,905"
"Weapon","","","","","","","","","",""
"Firearm","20,987","21,545","22,916","22,311","22,237","23,266","23,504","21,720","19,201","17,333"
"Knife or Cutting Instrument","18,229","18,295","17,983","18,065","18,608","18,677","18,209","17,430","16,693","16,099"
"Other Weapon","43,606","44,028","42,845","42,699","41,699","41,761","40,465","39,975","38,092","35,510"
"Hands  Fists  Feet","55,568","51,260","46,871","45,599","41,323","30,617","29,293","30,361","30,807","30,963"
"Property Crimes","1,054,860","1,120,487","1,171,644","1,209,030","1,223,275","1,195,381","1,156,010","1,112,366","1,081,272","1,006,788"
"Burglary","222,247","229,922","237,445","240,705","244,914","249,563","246,449","237,759","237,988","229,523"
"Means of Entry","","","","","","","","","",""
"Forcible Entry","143,187","147,854","153,638","153,832","155,000","158,828","154,606","147,404","148,763","142,396"
"No Force","79,060","82,068","83,807","86,873","89,914","90,735","91,843","90,355","89,225","87,127"
"Location / Time","","","","","","","","","",""
"Residence","128,586","130,870","136,742","137,801","139,581","141,934","143,021","142,749","148,756","148,164"
"Night","30,135","30,062","30,780","32,048","31,849","31,702","31,513","30,673","31,487","32,223"
"Day","57,579","58,253","61,455","61,592","62,656","64,273","66,633","68,811","73,115","73,285"
"Unknown","40,872","42,555","44,507","44,161","45,076","45,959","44,875","43,265","44,154","42,656"
"Non-Residence","93,661","99,052","100,703","102,904","105,333","107,629","103,428","95,010","89,232","81,359"
"Night","32,223","34,550","34,833","35,792","36,656","37,424","36,147","33,237","31,565","30,830"
"Day","28,510","28,323","28,253","29,606","30,570","30,604","30,219","28,926","27,505","26,288"
"Unknown","32,928","36,179","37,617","37,506","38,107","39,601","37,062","32,847","30,162","24,241"
"Motor Vehicle Theft","181,049","201,074","221,780","240,798","251,747","256,998","242,692","220,126","192,631","163,651"
"Automotive","130,656","145,980","162,478","180,451","188,311","193,183","182,658","167,250","144,289","125,096"
"Trucks and Buses","40,982","44,713","47,550","46,741","48,262","48,209","45,419","40,219","36,194","27,625"
"Other","9,411","10,381","11,752","13,606","15,174","15,606","14,615","12,657","12,148","10,930"
"Larceny-Theft","651,564","689,491","712,419","727,527","726,614","688,820","666,869","654,481","650,653","613,614"
"Type","","","","","","","","","",""
"Pocket-Picking","4,523","3,316","3,788","3,864","3,509","3,274","3,384","3,791","3,556","3,232"
"Purse-Snatching","4,502","4,524","4,234","4,507","4,291","4,125","4,513","4,100","3,798","3,504"
"Shoplifting","89,908","88,330","90,597","93,086","93,482","86,364","82,775","88,412","94,891","97,653"
"From Motor Vehicle","223,309","245,033","270,230","282,126","280,665","272,073","266,186","256,636","247,270","235,522"
"Motor Vehicle Accessories","61,913","74,605","78,528","80,734","82,037","73,035","64,615","57,762","59,324","50,934"
"Bicycles","29,535","27,931","26,474","26,605","25,231","23,244","21,041","20,074","22,680","25,980"
"From Building","104,243","109,345","106,359","101,445","99,960","93,578","89,171","85,268","81,371","75,884"
"Coin Operated Machine","5,255","5,629","3,636","3,455","3,342","3,306","2,519","2,394","2,153","1,803"
"Other","128,376","130,778","128,573","131,705","134,097","129,821","132,665","136,044","135,610","119,102"
"Value","","","","","","","","","",""
"Over $400","175,013","195,037","208,367","211,634","215,532","215,772","218,466","223,350","226,125","202,639"
"$200 through $400","102,424","106,602","110,107","113,392","114,873","109,155","105,213","102,009","102,947","99,226"
"$50 through $199","138,102","144,146","143,798","146,475","145,082","133,188","123,996","118,991","118,202","116,038"
"Under $50","236,025","243,706","250,147","256,026","251,127","230,705","219,194","210,131","203,379","195,711"
"Arson","14,406","15,060","14,007","13,677","12,660","12,272","12,687","11,400","10,674","9,233"
"Structural Property","4,669","4,612","4,119","3,992","3,786","3,774","3,758","3,438","3,416","2,865"
"Mobile Property","4,616","5,357","5,473","5,419","4,846","4,349","4,442","4,011","3,888","3,304"
"Other Property","5,121","5,091","4,415","4,266","4,028","4,149","4,487","3,951","3,370","3,064"
